dimension,original_objective,forced_true_nested_objective
1,0.07981186196795265,0.07981186196795265
2,0.013711694471455302,0.013711694471455302
3,0.005379572374047141,0.005379572374047141
4,3.325768477935249e-05,0.0002990735041746695
5,5.858551316451607e-06,2.32909449512347e-05
6,2.031166541633798e-08,2.0311665416338104e-08
7,8.550311511147495e-09,8.550311511150906e-09
