seed,nested,passes_true_support,true_support_dimensions,nonnested_transitions
3,False,False,,"3->4, 5->6"
4,False,False,,3->4
6,True,False,,
8,True,True,4,
12,True,False,,
13,True,True,4,
18,False,True,4,"4->5, 5->6"
21,False,False,,2->3
22,True,True,4,
27,True,True,4,
